UML Type,UID Business Object,Business Object,UID Feature,Feature,Description,UID Data Type,Data Type,UID Owner,Owner Element,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
Class,a5bc9361-4552-ea11-8289-069cfa57f370,ProductAnalysisDocument,,,A document associated to the product analysis like a reporting document that refers to the performance analysis of the product.  ,Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Attribute,a5bc9361-4552-ea11-8289-069cfa57f370,ProductAnalysisDocument,f44028a2-5852-ea11-8289-069cfa57f370,ProductAnalysisDocumentIdentification,,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Class,a03dec86-6675-e911-823e-064d1e9fbc72,ManagementPlan,,,"The course of action to realize goals (of an operational unit of an enterprise).

The management and oversight while running an operational unit of an enterprise. (Generic Artifact)


",Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Attribute,a03dec86-6675-e911-823e-064d1e9fbc72,ManagementPlan,d9d5a7a3-1757-ea11-8289-06a605eb4d64,ManagementPlanPeriod,The time period addressed by the management plan.,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Attribute,a03dec86-6675-e911-823e-064d1e9fbc72,ManagementPlan,9b86d8bd-1757-ea11-8289-06a605eb4d64,ManagementPlanGoal,,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Attribute,a03dec86-6675-e911-823e-064d1e9fbc72,ManagementPlan,0e5ac279-d5e2-ea11-82b8-068800dddbf7,ManagementPlanType,,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=Management Plan Type,isType=ebfe0008-d5e2-ea11-82b8-068800dddbf7,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Attribute,a03dec86-6675-e911-823e-064d1e9fbc72,ManagementPlan,38856e94-d5e2-ea11-82b8-068800dddbf7,Management Plan Description,,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Class,52195823-8271-e911-823e-0681a0c1a2d0,ClearingInvolvement,,,A specific party who plays the specific role in the clearing process. ,Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Attribute,52195823-8271-e911-823e-0681a0c1a2d0,ClearingInvolvement,a054cd5e-8d7d-eb11-8309-06f448ba7707,ClearingInvolvementType,,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Class,6d8fea76-e855-e911-8237-060aad038e48,DirectDebitMandate,,,"Swagger definition: An agreement between a debtor and a creditor allowing the creditor to instruct the bank to debit the debtors account

Authorization in favour of the creditor given by the debtor to debit its own account. (ISO20022)",Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
