UID Generalization relation,UID Generalization,Generalization,UID Specialization,Specialization,
5f6ed51a-c186-e911-823e-062687e6a904,0120d195-d877-e911-823e-067f69a9229a,DirectoryEntry,2f238340-bb86-e911-823e-062687e6a904,CustomerDirectoryEntry,
838e1812-087b-e911-823e-06651a4b679a,1803596c-6675-e911-823e-064d1e9fbc72,CustomerRelationship,5214d0bc-2576-e911-823e-065f1d1f71b2,Customer,
df4d0bfe-eb9c-e911-827a-06330851e5be,945db559-e89c-e911-827a-06330851e5be,PaymentServiceProvidingAgreement,5d82df8f-4f6b-e911-8237-06098389ccc2,CorrespondentBankingAgreement,
6497c3e4-f4a9-e911-8288-06812ee60d2a,3b53beb6-f4a9-e911-8288-06812ee60d2a,ArrangementFulfilmentEvent,e591ecbf-ff97-e911-827a-06d89370a58e,InterestArrangementFulfilmentEvent,
ea4487da-9555-eb11-82e3-06afd984332d,9e6e153d-5997-e911-823e-065ba593ba6e,ProductService,bc776ea2-9455-eb11-82e3-06afd984332d,LeasingProduct,
cac0ddf7-94d0-e911-8296-061886980330,72f082d3-3cb4-e911-828c-0615b1d713aa,CustomerContacSession,8d029367-93d0-e911-8296-061886980330,EBranchChannelOperatiingSession,
2ef4758b-f26f-e911-8237-06309b11004c,9fe05cf9-fd60-e911-8237-068e13695e26,Account,f71974ec-f16f-e911-8237-06309b11004c,NostroAccount,
7e6aa304-699e-e911-827a-06e8627b9e66,f629d849-639e-e911-827a-06e8627b9e66,SavingsAccountProductFeature,ca197cf7-e497-e911-827a-06d89370a58e,PaymentService,
932a3b49-2376-e911-823e-065f1d1f71b2,a7377090-2176-e911-823e-065f1d1f71b2,CustomerProductProfileType,f5f7be22-7775-e911-823e-064d1e9fbc72,CustomerProductEligibilityProfileClass,
49e2121d-d86f-e911-8237-06309b11004c,eca491e3-d66f-e911-8237-06309b11004c,PaymentInstructionInvolvement,cf8e2b23-a065-e911-8237-06eba4258fe0,PayerBank,
9cb38096-7b6a-e911-8237-061b75d0d318,9c3b00ce-7a6a-e911-8237-061b75d0d318,CardPaymentInvolvement,b62be7b6-fb60-e911-8237-068e13695e26,CardAcceptor,
0fa5c65e-0261-e911-8237-068e13695e26,edd6e77c-0161-e911-8237-068e13695e26,AccountInvolvement,262fdfe2-0161-e911-8237-068e13695e26,AccountOwner,
5ce09532-0561-e911-8237-068e13695e26,70959fdb-be56-e911-8237-06ecaacb4c68,PartyRole,524614a8-f560-e911-8237-068e13695e26,CardPaymentAgreementInvolvement,
fce0206c-d76f-e911-8237-06309b11004c,cd6d1037-d56f-e911-8237-06309b11004c,CorrespondentBankingInvolvementType,025e7433-b96c-e911-8237-068832ceab6c,RespondentBank,
e9e50730-95d8-e911-82a8-06740d90dcce,ea36f45c-1656-e911-8237-060aad038e48,Assessment,5b18dd29-95d8-e911-82a8-06740d90dcce,RiskAssessment,
d46ae8a1-c172-eb11-8305-06e7df9dc079,ba9240b3-0056-e911-8237-060aad038e48,Action,7dc5407b-c172-eb11-8305-06e7df9dc079,ServiceFulfilmentAction,
013a06b6-3eb5-ea11-829f-06ddb95e6bc8,1716f2c4-b4a4-e911-8284-06aa98c8c004,ItemInventory,ce44e0a8-3eb5-ea11-829f-06ddb95e6bc8,ProductInventory,
45aea8e1-5c76-e911-823e-065f1d1f71b2,bd51787a-6675-e911-823e-064d1e9fbc72,CustomerRelationshipInvolvement,eec68599-5c76-e911-823e-065f1d1f71b2,CustomerRelationshipCustomerInvolvement,
2b9986fb-d66f-e911-8237-06309b11004c,9bc7af8d-d46f-e911-8237-06309b11004c,PartyRoleType,cd6d1037-d56f-e911-8237-06309b11004c,CorrespondentBankingInvolvementType,
10cbf60d-94d0-e911-8296-061886980330,f5145a15-138d-e911-823e-067b7da9d714,Session,8d029367-93d0-e911-8296-061886980330,EBranchChannelOperatiingSession,
3c962c91-869e-e911-827a-06e8627b9e66,53777ee2-6a9e-e911-827a-06e8627b9e66,SavingsAccountArrangement,ac535bd6-3298-e911-827a-06b20c6b9b78,StandingOrderArrangement,
96b0268c-826a-e911-8237-061b75d0d318,dd3cc0aa-0a68-e911-8237-06dd5e24f7bc,Arrangement,9208521a-826a-e911-8237-061b75d0d318,ProductDeliveryObligation,
67d0ed39-6cb7-e911-8291-0657c6eca57a,e044b3b6-8271-e911-823e-0681a0c1a2d0,ClearingSettlementArrangement,c2720b22-6cb7-e911-8291-0657c6eca57a,CardClearingSettlementArrangement,
eca0f36e-7b6a-e911-8237-061b75d0d318,9c3b00ce-7a6a-e911-8237-061b75d0d318,CardPaymentInvolvement,7f242e41-f960-e911-8237-068e13695e26,CardIssuer,
41aea8e1-5c76-e911-823e-065f1d1f71b2,bd51787a-6675-e911-823e-064d1e9fbc72,CustomerRelationshipInvolvement,931a4cb0-5c76-e911-823e-065f1d1f71b2,CustomerRelationshipEmployeeInvolvement,
